N1	N2	P1	P2	N	P	FC
1810006K21Rik	111.171582718243	112.426624155424	245.764791834761	291.553256520202	111.799103436834	268.659024177482	1.26486767990001
1810007I06Rik	1	1	1.64758519665761	3.02814158021632	1	2.33786338843697	1.22519062936367
1810008A18Rik	48.6178361745502	48.7062878892737	19.679489848966	21.9540264565683	48.6620620319119	20.8167581527671	-1.22505204356852
1810009A15Rik	134.533400100819	138.299046804864	194.598118227449	212.443057737051	136.416223452842	203.52058798225	0.57715951507082
1810010H24Rik	1.17260087248451	1	1	1	1.08630043624226	1	-0.119423162013082
1810011O10Rik	1	1	1	1	1	1	0
1810012P15Rik	7.17090533557837	5.36216013459894	9.88551117994569	8.89516589188543	6.26653273508865	9.39033853591556	0.583509747782026
1810013D10Rik	33.599525000037	32.5751228176885	37.7113945012743	30.9438217728355	33.0873239088628	34.3276081370549	0.053090725669473
1810013L24Rik	17.3184128859251	21.4486405383957	66.2695379100063	74.5679864128268	19.3835267121604	70.4187621614165	1.86112878334309
1810014B01Rik	4.46490332215257	4.15567410431418	5.5834831664508	5.6777654629056	4.31028871323337	5.6306243146782	0.385510387264642
1810014F10Rik	3.87860288591031	3.53008875527763	6.49880827570503	8.61127761874015	3.70434582059397	7.55504294722259	1.02822116830222
1810019D21Rik	1.08240080537032	1.51927870480303	2.28831277313558	2.17647676078048	1.30083975508668	2.23239476695803	0.779148916089439
1810019J16Rik	9.87690734900417	8.66882555093495	4.02743048071861	2.27110618516224	9.27286644996956	3.14926833294043	-1.55799868970231
1810020D17Rik	6.35910473155063	4.87062878892737	9.06171858161688	9.93608956008479	5.614866760239	9.49890407085084	0.758509285011033
1810022K09Rik	96.2434716108443	99.3787011612336	251.714405044913	319.563566137203	97.811086386039	285.638985591058	1.54612299815961
1810026B05Rik	5.3669039932945	4.60252078219742	11.1669663329016	11.82867804772	4.98471238774596	11.4978221903108	1.205778455007
1810026J23Rik	43.2960322148128	38.562868301324	32.8601714222269	36.7162166601229	40.9294502580684	34.7881940411749	-0.234541503119682
1810027O10Rik	55.2024410738863	52.6832233224345	103.248672323877	106.552731853862	53.9428321981604	104.900702088869	0.959521158247667
1810029B16Rik	48.8884363758928	47.9913332046605	84.8506376278671	95.386459776814	48.4398847902766	90.1185487023406	0.895628646420949
1810030N24Rik	9.29060691276191	7.68576285959181	21.3270750456236	26.6854976756563	8.48818488617686	24.0062863606399	1.49988425800531
1810030O07Rik	32.9681245302377	31.4133214551921	52.4481287602674	55.0743249901843	32.1907229927149	53.7612268752258	0.739921082354171
1810031K17Rik	16.0105119127693	13.628823675439	8.97018607069146	8.04350107244959	14.8196677941041	8.50684357157052	-0.800817277353229
1810032O08Rik	47.3550352349515	46.7401625065874	26.2698306355964	26.1177211293657	47.0475988707694	26.1937758824811	-0.844897053297778
1810035L17Rik	66.7931496980602	66.9823170146984	177.481538684395	237.519855198217	66.8877333563793	207.500696941306	1.63330261991894
